iter	backtest_id	status	annual_return	max_drawdown	sharpe	score	decision	mutation	robust_score	recent6	recent12	prior12	full24	sensitivity	trade_count	complexity	reason
0001		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:1	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	8	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0002		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:2	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	8	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0003		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-005 round:3 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0004		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:4	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	9	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0005		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:5	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	10	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0006		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:6	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	11	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0007		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:7	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	12	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0008		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:8	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	12	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0009		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-005 round:9 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0010		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:10	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	12	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0011		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:11	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	12	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0012		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:12	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	13	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0013		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:13	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	14	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0014		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:14	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	15	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0015		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:15	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	16	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0016		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:16	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	17	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0017		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:17	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	17	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0018		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:18	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	18	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0019		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:19	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	19	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0020		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-005 round:20 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0021		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:21	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	19	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0022		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:22	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	20	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0023		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-005 round:23	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	21	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
