timestamp,date,cash
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
2026-04-01 17:48:43,2026-04-01,100.0
