timestamp,date,cash
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:34,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
2026-04-01 10:42:45,2026-04-01,100.0
