iter	backtest_id	status	annual_return	max_drawdown	sharpe	score	decision	mutation	robust_score	recent6	recent12	prior12	full24	sensitivity	trade_count	complexity	reason
0034		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:34	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	22	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0035		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:35	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	23	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0036		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:36	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	23	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0037		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:37	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	23	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0038		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:38	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	23	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0039		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:39	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	24	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0040		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-004 round:40 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0041		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:41	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	24	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0042		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-004 round:42 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0043		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-004 round:43 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0044		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-004 round:44 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0045		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:45	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	24	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0046		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:46	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	25	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0047		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:47	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	26	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0048		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:48	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	26	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0049		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:49	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	26	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0050		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:50	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	26	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
0051		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-004 round:52	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	26	ValueError: time data 'AUTO' does not match format '%Y-%m-%d'
