date,nav,drawdown
0,1000000.0,0.0
1,998910.129184,-0.0010898708160000388
2,996779.349184,-0.00322065081599995
3,994728.129184,-0.005271870816000039
4,995952.129184,-0.004047870816000039
5,994654.179184,-0.005345820815999992
6,996003.129184,-0.003996870816000039
7,991433.019184,-0.008566980816000025
8,990903.129184,-0.009096870816000038
9,990628.2391840001,-0.009371760815999936
10,992191.899184,-0.00780810081600002
11,993198.129184,-0.006801870816000039
12,996131.649184,-0.00386835081600002
13,996920.619184,-0.003079380816000048
14,995146.329184,-0.004853670815999969
15,994779.129184,-0.005220870816000039
16,995391.129184,-0.0046088708160000385
17,995901.129184,-0.0040988708160000385
18,991923.129184,-0.008076870816000038
19,990952.089184,-0.00904791081599996
20,989475.129184,-0.010524870816000039
21,992381.109184,-0.007618890816000057
22,991209.129184,-0.00879087081600004
23,990034.599184,-0.009965400815999951
24,990988.299184,-0.009011700815999998
25,992107.749184,-0.007892250816000044
26,992206.179184,-0.007793820815999992
27,991922.619184,-0.008077380816000047
28,992943.129184,-0.007056870816000039
29,991412.619184,-0.008587380816000047
30,987887.499184,-0.012112500816000044
31,988863.639184,-0.01113636081600003
32,985655.7391840001,-0.014344260815999937
33,987438.189184,-0.012561810815999983
34,986996.529184,-0.013003470816000015
35,990468.609184,-0.009531390816000058
36,989775.009184,-0.010224990816000035
37,987486.129184,-0.012513870816000038
38,986491.629184,-0.013508370816000039
39,982743.129184,-0.01725687081600004
40,985099.329184,-0.014900670815999969
41,986424.309184,-0.013575690815999988
42,987202.059184,-0.012797940815999987
43,985905.639184,-0.01409436081600003
44,982386.129184,-0.01761387081600004
45,977439.129184,-0.02256087081600004
46,981108.579184,-0.018891420815999968
47,983413.779184,-0.016586220816000016
48,982783.419184,-0.017216580816000002
49,982605.429184,-0.01739457081599999
50,982131.129184,-0.01786887081600004
51,985047.819184,-0.014952180815999978
52,983453.559184,-0.01654644081599999
53,981876.129184,-0.01812387081600004
54,980386.929184,-0.019613070815999993
55,980703.129184,-0.01929687081600004
56,983921.229184,-0.016078770815999947
57,983355.129184,-0.016644870816000037
