file_path,file_name,file_type,scan_status,run_status,is_executable,in_scope,has_initialize,has_handle,missing_apis,error_message,scan_timestamp
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/37 微盘股扩散指数双均线择时.txt,37 微盘股扩散指数双均线择时.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.643220
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/69 “稳定摸狗策略”学习笔记.txt,69 “稳定摸狗策略”学习笔记.txt,txt,not_strategy,non_executable,False,False,False,False,,非策略文件（研究文档/配套资料）,2026-04-04T11:01:52.648070
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/27 根据动量模型切换大小盘板块选股策略.txt,27 根据动量模型切换大小盘板块选股策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.648251
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/94 小资金短线策略.txt,94 小资金短线策略.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.652257
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/10 多因子宽基ETF择时轮动改进版-高收益大资金低回撤.txt,10 多因子宽基ETF择时轮动改进版-高收益大资金低回撤.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.653685
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/19 机器学习线性回归小市值.txt,19 机器学习线性回归小市值.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.657516
"/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/35 【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍.txt","35 【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍.txt",txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.660640
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/72 【股指期货】收盘折溢价策略.txt,72 【股指期货】收盘折溢价策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.664862
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/64 大小外择时小市值3.0.txt,64 大小外择时小市值3.0.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.666758
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/63 怎么让龟速变奔跑？以“首版突破一进二”为例.txt,63 怎么让龟速变奔跑？以“首版突破一进二”为例.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.673771
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/19 复现FFScore财务模型.txt,19 复现FFScore财务模型.txt,txt,valid,executable,True,True,True,True,,,2026-04-04T11:01:52.675989
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/77 研报三因子II-新规高分红小市值-年化60回撤19.txt,77 研报三因子II-新规高分红小市值-年化60回撤19.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.679545
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/17 多品种ETF动量轮动+EPO优化.txt,17 多品种ETF动量轮动+EPO优化.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.682871
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/70 致敬市场(12)——赚钱的策略.txt,70 致敬市场(12)——赚钱的策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.684615
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/27 中证500指增+CTA，胜率52%盈亏比1.9。不输顶尖私募.txt,27 中证500指增+CTA，胜率52%盈亏比1.9。不输顶尖私募.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.685353
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/87 山寨每月轮动调仓的红利策略.txt,87 山寨每月轮动调仓的红利策略.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.690178
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/04 红利搬砖_简化测试版.txt,04 红利搬砖_简化测试版.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.691620
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/24 现在便宜的300就是最好的，收益惊人.txt,24 现在便宜的300就是最好的，收益惊人.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.692145
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/03 截止到21年12月依然有效的小市值适配因子.txt,03 截止到21年12月依然有效的小市值适配因子.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.693592
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/67 RSRS择时改进-【成交量加权-钝化-右偏】.txt,67 RSRS择时改进-【成交量加权-钝化-右偏】.txt,txt,valid,executable,True,True,True,False,,,2026-04-04T11:01:52.696425
