iter	backtest_id	status	annual_return	max_drawdown	sharpe	score	decision	mutation	robust_score	recent6	recent12	prior12	full24	sensitivity	trade_count	complexity	reason
0031	jqka_1776861270880	ok	3.0000	0.1400	1.5083	1.157368	rollback	tree_run:run-001 round:31 | [细调阈值] 毛利率 30.0 → 29	1.145016	1.148387	1.157368	1.100302	0.819705	0.0000	60	10	robust_score 1.1450 <= champion 1.1443 (diff=0.0008)
0032	jqka_1776861452450	ok	6.0000	0.1400	2.2217	1.151118	rollback	tree_run:run-001 round:32 | [细调阈值] 毛利率 30.0 → 32	0.676012	-0.346599	1.151118	1.147656	1.148549	0.0000	49	10	robust_score 0.6760 <= champion 1.1443 (diff=-0.4683)
0033	jqka_1776861643404	stage_c_fail	2.0000	0.1600	1.4024	1.154737	rollback	tree_run:run-001 round:33 | [添加条件] 市净率小于4	0.000000	1.155319	1.154737	0.000000	0.000000	0.3466	144	11	good_ratio=0.80, floor_ok=False, sensitivity=0.3466, anchor=1.1547
0034	jqka_1776861683770	ok	0.3858	0.1300	1.3503	0.538340	rollback	tree_run:run-001 round:34 | [替换条件] 毛利率大于30% → 经营活动产生的现金流量净额大于0	0.760952	1.145745	0.538340	0.416293	0.393854	0.2906	87	10	未满足 B_quality_growth 的 promotion_rules
0035	jqka_1776861704140	ok	3.0000	0.1400	1.5241	1.153158	rollback	tree_run:run-001 round:35 | [细调阈值] 毛利率 30.0 → 31	0.457897	-0.207305	1.153158	0.392553	0.119771	0.0000	53	10	robust_score 0.4579 <= champion 1.1443 (diff=-0.6864)
0036	jqka_1776861385468	ok	3.0000	0.1400	1.5725	1.154737	rollback	tree_run:run-001 round:36 | [替换条件] 营业收入增长率大于15% → 净利润增长率大于20%	0.365026	-0.169568	1.154737	-0.024673	-0.173876	0.1144	413	10	robust_score 0.3650 <= champion 1.1443 (diff=-0.7792)
0037	jqka_1776861714531	stage_c_fail	3.0000	0.1600	1.3775	1.150265	rollback	tree_run:run-001 round:37 | [替换条件] 营业收入增长率大于15% → 经营活动产生的现金流量净额大于净利润	0.000000	-0.352095	1.150265	0.000000	0.000000	0.5149	589	10	good_ratio=0.70, floor_ok=False, sensitivity=0.5149, anchor=1.1503
0038	jqka_1776861728146	stage_c_fail	3.0000	0.1600	1.9628	1.158730	rollback	tree_run:run-001 round:38 | [添加条件] 市净率小于2	0.000000	1.164516	1.158730	0.000000	0.000000	0.3481	27	11	good_ratio=0.80, floor_ok=False, sensitivity=0.3481, anchor=1.1587
0039	jqka_1776861770630	ok	6.0000	0.0600	1.8771	1.152604	rollback	tree_run:run-001 round:39 | [替换条件] 经营活动产生的现金流量净额连续三年为正 → 资产负债率小于60%	1.177694	1.152632	1.152604	1.149843	0.989237	0.1158	523	10	robust_score 1.1777 <= champion 1.1443 (diff=0.0334)
0040		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-001 round:40 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0041	jqka_1776861791129	ok	10.0000	0.1600	3.6818	0.948663	rollback	tree_run:run-001 round:41 | [添加条件] 净利润增长率大于24%	0.961802	0.912637	0.948663	1.148044	1.147861	0.1366	16	11	recent_12m trade_count 16 < 20
0042	jqka_1776861452450	ok	6.0000	0.1400	2.2217	1.151118	rollback	tree_run:run-001 round:42 | [细调阈值] 毛利率 30.0 → 32	0.676012	-0.346599	1.151118	1.147656	1.148549	0.0000	49	10	robust_score 0.6760 <= champion 1.1443 (diff=-0.4683)
0043		no_change	0.0000	0.0000	0.0000	0.000000	rollback	tree_run:run-001 round:43 | [替换条件] 无可用替换	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000			mutation produced no effective change
0044	jqka_1776861385468	ok	3.0000	0.1400	1.5725	1.154737	rollback	tree_run:run-001 round:44 | [替换条件] 营业收入增长率大于15% → 净利润增长率大于20%	0.365026	-0.169568	1.154737	-0.024673	-0.173876	0.1144	413	10	robust_score 0.3650 <= champion 1.1443 (diff=-0.7792)
0045	jqka_1776861191602	ok	3.0000	0.1400	1.5083	1.157368	rollback	tree_run:run-001 round:45 | [细调阈值] 毛利率 30.0 → 28	1.145016	1.148387	1.157368	1.100302	0.819705	0.0000	64	10	robust_score 1.1450 <= champion 1.1443 (diff=0.0008)
0046	jqka_1776861623429	stage_c_fail	2.0000	0.1400	1.2485	1.152105	rollback	tree_run:run-001 round:46 | [替换条件] 营业收入增长率大于15% → 净资产收益率大于10%	0.000000	1.157143	1.152105	0.000000	0.000000	0.3008	165	10	good_ratio=0.90, floor_ok=False, sensitivity=0.3008, anchor=1.1521
0047	jqka_1776861840123	ok	9.0000	0.1300	3.0393	1.155080	rollback	tree_run:run-001 round:47 | [替换条件] 毛利率大于30% → 净利润增长率大于20%	0.961324	1.155914	1.155080	0.380918	0.302253	0.1144	49	10	未满足 B_quality_growth 的 promotion_rules
0048	jqka_1776861857868	stage_a_fail	-0.0052	0.1500	-0.0227	-0.363316	rollback	tree_run:run-001 round:48 | [替换条件] 毛利率大于30% → 净资产收益率大于10%	0.000000	-0.591159	-0.363316	0.000000	0.000000	0.0000	30	10	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0049	jqka_1776861859344	ok	4.0000	0.1400	1.8901	1.154737	rollback	tree_run:run-001 round:49 | [添加条件] 市净率小于9	1.127402	1.157447	1.154737	1.148711	0.638875	0.1145	276	11	robust_score 1.1274 <= champion 1.1443 (diff=-0.0169)
